1.210633789062500000e+03 6.807224431374379693e-19 4.009988337452609388e-19
1.210873779296875000e+03 1.993662957557064617e-19 3.727398624786118543e-19
1.211113891601562500e+03 -1.837843940578381754e-20 3.358256610231200225e-19
1.211354125976562500e+03 7.589524291841811469e-19 3.713638216802357505e-19
1.211594116210937500e+03 7.378162584734378991e-19 3.728107932161382764e-19
1.211834228515625000e+03 -3.000751734425195892e-19 3.724991529203589232e-19
1.212074218750000000e+03 -1.505148311606116781e-19 3.747710044727358138e-19
1.212314331054687500e+03 1.399609758967153806e-18 3.867197835174291522e-19
1.212554443359375000e+03 2.099746156930605477e-19 3.660385879929842120e-19
1.212794555664062500e+03 8.995835247746410490e-19 3.876096230613830717e-19
1.213034545898437500e+03 1.418195473355454647e-18 3.879694207784494965e-19
1.213274780273437500e+03 6.757287537794553412e-19 3.961207945766708809e-19
1.213514770507812500e+03 1.436977436344083693e-18 4.498864228686695616e-19
1.213754882812500000e+03 8.474526380175944315e-19 3.772277050426241637e-19
1.213994995117187500e+03 6.932524199600263788e-19 4.020156455132417480e-19
1.214235107421875000e+03 4.634652130091869257e-19 3.788763277022306324e-19
1.214475097656250000e+03 8.445005338089692448e-19 3.930413562525008125e-19
1.214715209960937500e+03 2.789960058157389020e-18 4.079979449501959556e-19
1.214955200195312500e+03 6.692818838610972110e-18 4.475382639047846543e-19
1.215195434570312500e+03 7.010024819141888333e-18 4.479197492635364537e-19
1.215435546875000000e+03 8.085204932686276895e-18 5.048106985543077536e-19
1.215675537109375000e+03 5.574114549185574615e-18 4.895056858729687899e-19
1.215915771484375000e+03 5.189142210561557876e-18 4.485801495850834772e-19
1.216155761718750000e+03 3.677712832220990391e-18 4.277168967776944441e-19
1.216395874023437500e+03 3.779803049831978790e-18 4.379690766872532382e-19
1.216635986328125000e+03 3.263496763811080188e-18 4.325477091031865525e-19
1.216876098632812500e+03 3.337834451485455094e-18 4.109041406348244492e-19
1.217116088867187500e+03 2.415023333218807036e-19 3.782913300633966458e-19
1.217356323242187500e+03 9.817324857685073334e-19 3.834139820487551194e-19
1.217596313476562500e+03 4.214129533294278202e-19 4.202071824902669286e-19
1.217836425781250000e+03 1.662591051815498560e-18 3.962118619922341408e-19
1.218076416015625000e+03 8.519057648452736560e-19 3.745301398181180290e-19
1.218316528320312500e+03 7.100325541674888137e-19 3.783135088435707239e-19
1.218556640625000000e+03 6.870548209192611035e-19 4.240082842001012291e-19
1.218796752929687500e+03 5.496591259725287289e-20 3.769029849534088157e-19
1.219036743164062500e+03 4.225282771384848666e-19 3.721575014779803805e-19
1.219276977539062500e+03 1.976823524839439787e-18 3.800730254040475829e-19
